usage,latency,location,version,inlier,outlier
30.77,238,CAN,v2,False,False
31.28,611,CAN,v2,False,False
31.17,768,RUS,v4,False,False
30.94,192,AUS,v3,False,False
35.36,401,UK,v3,True,False
39.12,531,RUS,v4,False,False
33.9,223,UK,v3,False,False
40.09,582,USA,v1,False,False
2.897,391,CAN,v3,False,True
39.03,441,CAN,v2,False,False
32.2,430,CAN,v1,False,False
42.3,572,RUS,v4,False,False
33.64,541,AUS,v4,False,False
38.54,88,USA,v1,False,False
25.46,918,UK,v3,False,False
35.69,931,AUS,v3,False,False
29.21,369,CAN,v2,False,False
25.83,627,RUS,v4,False,False
39.32,609,USA,v1,False,False
41.52,39,CAN,v2,False,False
35.41,140,AUS,v3,True,False
32.42,166,AUS,v3,False,False
29.84,351,AUS,v3,False,False
46.88,836,AUS,v3,False,False
38.59,790,AUS,v3,False,False
38.61,548,UK,v2,False,False
31.18,546,RUS,v4,False,False
29.31,955,AUS,v3,False,False
28.82,744,UK,v2,False,False
36.5,406,USA,v1,False,False
41.19,80,AUS,v3,False,False
38.68,102,CAN,v2,False,False
40.11,148,RUS,v4,False,False
42.31,138,AUS,v3,False,False
37.55,967,RUS,v4,False,False
35.69,600,USA,v1,False,False
42.1,344,AUS,v3,False,False
30.42,890,UK,v3,False,False
35.78,198,AUS,v4,False,False
31.81,20,CAN,v2,False,False
36.35,584,USA,v1,False,False
41.0,699,UK,v2,False,False
34.88,800,CAN,v1,True,False
35.31,996,RUS,v4,True,False
29.78,905,RUS,v4,False,False
33.68,647,AUS,v3,False,False
40.16,279,RUS,v4,False,False
32.04,254,RUS,v4,False,False
35.39,328,RUS,v4,True,False
32.14,261,USA,v1,False,False
28.21,979,RUS,v4,False,False
10.56,661,CAN,v3,False,False
43.79,887,USA,v1,False,False
40.98,793,AUS,v4,False,False
32.15,789,USA,v1,False,False
36.3,588,CAN,v2,False,False
34.76,825,CAN,v2,True,False
36.07,204,UK,v3,False,False
39.48,102,UK,v3,False,False
8.187000000000001,354,CAN,v3,False,True
38.07,953,AUS,v3,False,False
32.77,329,UK,v3,False,False
33.68,465,UK,v2,False,False
39.5,864,RUS,v4,False,False
32.28,379,CAN,v2,False,False
33.29,932,UK,v3,False,False
29.8,874,USA,v1,False,False
31.13,437,CAN,v1,False,False
36.8,454,RUS,v4,False,False
41.34,706,UK,v2,False,False
36.51,498,CAN,v2,False,False
40.4,272,RUS,v4,False,False
36.79,740,CAN,v2,False,False
32.98,318,CAN,v2,False,False
32.24,911,AUS,v3,False,False
24.32,645,UK,v3,False,False
39.32,123,RUS,v4,False,False
29.78,38,UK,v2,False,False
36.03,635,USA,v1,False,False
39.9,84,USA,v1,False,False
38.7,250,AUS,v3,False,False
30.42,233,USA,v1,False,False
32.11,361,CAN,v2,False,False
30.3,291,RUS,v4,False,False
46.69,209,AUS,v3,False,False
41.92,401,CAN,v1,False,False
32.01,251,RUS,v4,False,False
31.66,924,RUS,v4,False,False
31.45,882,RUS,v4,False,False
28.73,522,UK,v2,False,False
38.47,806,CAN,v2,False,False
37.89,778,UK,v2,False,False
43.04,152,UK,v3,False,False
33.36,245,CAN,v1,False,False
32.07,675,RUS,v4,False,False
25.95,250,AUS,v4,False,False
7.931,279,CAN,v3,False,True
36.71,724,CAN,v1,False,False
34.63,553,RUS,v4,True,False
40.6,494,USA,v1,False,False
39.31,8,UK,v3,False,False
34.92,161,CAN,v2,True,False
45.56,961,AUS,v3,False,False
35.83,948,RUS,v4,False,False
37.67,816,UK,v2,False,False
40.2,198,RUS,v4,False,False
38.48,907,RUS,v4,False,False
34.49,345,AUS,v3,True,False
34.49,453,USA,v1,True,False
27.07,892,AUS,v4,False,False
35.31,871,CAN,v2,True,False
34.08,13,CAN,v1,False,False
35.04,476,USA,v1,True,False
39.42,925,USA,v1,False,False
37.45,243,AUS,v4,False,False
38.0,208,UK,v2,False,False
34.52,418,RUS,v4,True,False
33.88,532,AUS,v3,False,False
36.6,921,CAN,v1,False,False
35.06,156,CAN,v2,True,False
